iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AE,925,954,1119,1171,1367,1535,1938,2158,2597,2269,2555,2677,2933,3675,4171,4712,5882,5776,4724,6412,7285,7504,7343,4330
US,32641,34192,35452,40224,40783,35331,34278,34677,36572,39354,40706,44781,44048,47305,53646,51766,52172,56335,60392,67644,72427,78086,88271,75154
UY,76,58,43,38,38,48,44,44,58,72,73,106,221,147,159,314,114,92,95,81,74,89,62,65
UM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,17,9,36
VI,2,19,0,6,10,3,2,6,31,4,4,25,48,31,1,1,0,1,0,7,3,4,2,0
UZ,20,9,31,21,40,34,40,39,35,31,38,43,50,53,42,24,26,17,9,6,17,5,53,80
VU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,3,16,6,16
VA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,4,2
VE,189,156,181,311,277,283,135,236,495,717,609,829,508,517,509,573,277,322,264,180,130,59,56,43
VN,211,268,340,425,490,547,662,775,778,881,924,1132,1188,1338,1629,2496,2948,2574,3349,4070,4458,4655,4860,4026
WF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
YE,13,9,11,12,14,15,22,27,44,31,45,40,30,74,154,30,84,9,5,4,18,10,14,6
ZM,52,44,39,40,41,47,56,60,54,67,67,90,116,78,54,51,56,56,73,35,29,64,16,23
ZW,146,144,151,144,133,116,97,98,88,77,63,88,126,90,100,65,115,119,83,98,157,179,126,53
